Date,rs_small
2022-09-27,78.27063151655874
2022-09-28,79.18803246947306
2022-09-29,79.06423058766477
2022-09-30,79.72114286510138
2022-10-03,79.72861746974237
2022-10-04,80.39752716701962
2022-10-05,79.98991326607842
2022-10-06,80.37028539266059
2022-10-07,80.24449582737986
2022-10-10,80.41109884236633
2022-10-11,80.9477472673791
2022-10-12,80.99288788110066
2022-10-13,80.86355746745356
2022-10-14,80.53330138750567
2022-10-17,81.01975063649527
2022-10-18,81.02792260799815
2022-10-19,80.21932286999743
2022-10-20,79.86760526071707
2022-10-21,79.66569251200475
2022-10-24,79.03990779494751
2022-10-25,79.91926614913
2022-10-26,80.92367211919114
2022-10-27,81.37630226591025
2022-10-28,81.29167851131673
2022-10-31,81.9591235610851
2022-11-01,82.43159531584287
2022-11-02,81.74865904236715
2022-11-03,82.04536156413229
2022-11-04,81.97311581250618
2022-11-07,81.56449031088815
2022-11-08,81.1584006993171
2022-11-09,80.59046385977561
2022-11-10,81.09500929729883
2022-11-11,80.97620529336325
2022-11-14,80.75767364474275
2022-11-15,81.26191061146434
2022-11-16,80.44577087652107
2022-11-17,79.94377713459767
2022-11-18,80.09690232643632
2022-11-21,79.96914663547658
2022-11-22,79.74922128167708
2022-11-23,79.45574754279662
2022-11-25,79.64088319764528
2022-11-28,79.30129634223559
2022-11-29,79.66926234156735
2022-11-30,79.35385248210227
2022-12-01,79.2385224829407
2022-12-02,79.79257314337355
2022-12-05,79.01602392373051
2022-12-06,78.94413840888944
2022-12-07,78.84590824297536
2022-12-08,78.79951273888095
2022-12-09,78.41793620211294
2022-12-12,78.21228733807779
2022-12-13,78.26764838752905
2022-12-14,78.25447478628953
2022-12-15,78.20893474197844
2022-12-16,78.55318389180024
2022-12-19,78.15270137504316
2022-12-20,78.45881229159136
2022-12-21,78.63512605029214
2022-12-22,78.73010568128366
2022-12-23,78.63606569728545
2022-12-27,78.41769899960721
2022-12-28,78.17142877121428
2022-12-29,78.7345040227222
2022-12-30,78.72119246432756
2023-01-03,78.6187567670705
2023-01-04,78.98827196884466
2023-01-05,79.04457851745092
2023-01-06,79.00772761706659
2023-01-09,79.18608684376517
2023-01-10,79.79727733967336
2023-01-11,79.78285564997584
2023-01-12,80.82876473750952
2023-01-13,81.04498140436004
2023-01-17,81.09390312628048
2023-01-18,81.06280980152458
2023-01-19,80.87533931799027
2023-01-20,80.7046980503191
2023-01-23,80.7347633777953
2023-01-24,80.64896643078755
2023-01-25,80.84298645463822
2023-01-26,80.43765947753843
2023-01-27,80.68741792896216
2023-01-30,80.5747469733919
2023-01-31,81.33567002581111
2023-02-01,81.7454653852401
2023-02-02,82.15924853443958
2023-02-03,82.48500366465079
2023-02-06,81.7914734976608
2023-02-07,81.3344228070378
2023-02-08,81.03109509644125
2023-02-09,80.55638627848981
2023-02-10,80.5296377440423
2023-02-13,80.55301462951635
2023-02-14,80.55242371029286
2023-02-15,81.105022565424
2023-02-16,81.45072476190614
2023-02-17,81.8794322172842
2023-02-21,81.08957893840241
2023-02-22,81.42242216944116
2023-02-23,81.56907886937151
2023-02-24,81.67883650349788
2023-02-27,81.68810465602286
2023-02-28,81.99549231060575
2023-03-01,82.41618855471188
2023-03-02,81.97548782409082
2023-03-03,81.80502093484226
2023-03-06,80.55311282123722
2023-03-07,80.85768835350655
2023-03-08,80.76489549668945
2023-03-09,79.9944171977785
2023-03-10,78.82560883864141
2023-03-13,77.65219483527076
2023-03-14,77.80435744635801
2023-03-15,77.00330830253019
2023-03-16,76.70865641039578
2023-03-17,75.52120294727696
2023-03-20,75.77174099280928
2023-03-21,76.16950124616004
2023-03-22,75.29273387611465
2023-03-23,74.75645989340316
2023-03-24,74.94091844390738
2023-03-27,75.63269507577245
2023-03-28,75.69373581842966
2023-03-29,75.45669931236752
2023-03-30,74.91481776225444
2023-03-31,75.23146627763275
2023-04-03,74.97948972905354
2023-04-04,74.07557136999392
2023-04-05,73.54152863843132
2023-04-06,73.36545184006822
2023-04-10,74.07417630977466
2023-04-11,74.63997225767389
2023-04-12,74.39542237600517
2023-04-13,74.39308086928115
2023-04-14,73.88044218879611
2023-04-17,74.56302289426108
2023-04-18,74.19765983616458
2023-04-19,74.30608134926395
2023-04-20,74.32818580679135
2023-04-21,74.36680925235147
2023-04-24,74.23910125167303
2023-04-25,73.57447262280921
2023-04-26,73.17441312306345
2023-04-27,72.70470690540463
2023-04-28,72.7203319951321
2023-05-01,72.83537287631061
2023-05-02,72.15053328225211
2023-05-03,72.91576491219493
2023-05-04,72.61346122670568
2023-05-05,72.98810963111471
2023-05-08,72.80135409872149
2023-05-09,72.90354753335518
2023-05-10,72.93249911492791
2023-05-11,72.49858544813266
2023-05-12,72.44691131099592
2023-05-15,73.07980329029817
2023-05-16,72.49837271475727
2023-05-17,73.22541888299753
2023-05-18,72.96739811444603
2023-05-19,72.62832736837959
2023-05-22,73.48514094035752
2023-05-23,73.96900063160729
2023-05-24,73.71928750632355
2023-05-25,72.51597034342231
2023-05-26,72.40269934179318
2023-05-30,72.10804239779046
2023-05-31,71.79536916353193
2023-06-01,71.8890810963392
2023-06-02,73.43424139491009
2023-06-05,72.58891843627006
2023-06-06,74.33899345695724
2023-06-07,75.9926748959773
2023-06-08,75.25338228157548
2023-06-09,74.51054398281877
2023-06-12,74.14797096590594
2023-06-13,74.50677500848862
2023-06-14,73.61825084832103
2023-06-15,73.31517484393754
2023-06-16,72.97704820234588
2023-06-20,73.03808173621765
2023-06-21,73.24370213599144
2023-06-22,72.43895033251228
2023-06-23,71.89188752148148
2023-06-26,72.25877997324255
2023-06-27,72.50728653173799
